dataset,tf,n_cell_types,mean_log2FC,min_pval,is_primed,score
BAL,CEBPB,5,1.93289729626099,0,TRUE,14.4967297219574
DTB_PBMC,SPIB,2,3.21972291390234,0,TRUE,9.65916874170702
DTB_PBMC,SPI1,5,-0.984311919019263,0,TRUE,7.38233939264448
BAL,IRF7,5,0.979874883316546,5.46786419567038e-09,TRUE,7.34906162487409
BAL,STAT1,5,0.978221019337542,9.24993144895171e-05,TRUE,7.33665764503157
DTB_PBMC,MAFB,4,-1.16437229862616,0,TRUE,6.98623379175698
BAL,JUN,5,0.884270543785256,4.00496127836483e-16,TRUE,6.63202907838942
BAL,BATF3,4,-1.06144780672399,0.000653376713787651,TRUE,6.36868684034395
DTB_PBMC,STAT4,5,-0.841214674132889,8.33507861360166e-186,TRUE,6.30911005599667
DTB_PBMC,TBX21,1,4.12018466358994,0,TRUE,6.18027699538491
DTB_PBMC,GATA3,5,-0.814757431781647,2.11360747024886e-220,TRUE,6.11068073836235
DTB_PBMC,CEBPA,1,3.73561409998303,2.05426940330726e-294,TRUE,5.60342114997455
DTB_PBMC,ETS2,2,1.77975214003333,1.47870050080278e-192,TRUE,5.33925642009998
DTB_PBMC,CEBPD,5,-0.709027482798991,0,TRUE,5.31770612099243
DTB_PBMC,BCL6,2,1.68192173407258,3.89735321581185e-305,TRUE,5.04576520221773
BAL,REL,4,0.836366670255799,1.52844098009088e-05,TRUE,5.0182000215348
DTB_PBMC,MYC,5,-0.636288113308855,5.94371055885238e-176,TRUE,4.77216084981641
DTB_PBMC,IRF5,2,1.56248733056537,0,TRUE,4.68746199169611
DTB_PBMC,IRF4,1,2.94325135001116,4.5591826675202e-80,TRUE,4.41487702501674
BAL,SPI1,5,0.575642084890009,2.00801610624165e-36,TRUE,4.31731563667507
BAL,RUNX1,5,0.447289829137554,6.01984806267675e-40,TRUE,3.35467371853165
BAL,STAT5B,3,0.743890007099229,0.0178250419478828,TRUE,3.34750503194653
DTB_PBMC,ETS1,5,-0.418769322264984,6.95259322303767e-298,TRUE,3.14076991698738
DTB_PBMC,RUNX3,5,-0.416867746121538,4.78167172426271e-245,TRUE,3.12650809591154
DTB_PBMC,BATF,5,-0.404384398220397,2.17620537715663e-95,TRUE,3.03288298665297
DTB_PBMC,RUNX2,1,1.77405056443741,1.09988125241725e-32,TRUE,2.66107584665612
BAL,ELF1,5,0.345090403933627,9.99383543309598e-16,TRUE,2.5881780295022
BAL,EPAS1,2,0.816763362929335,2.66635331893214e-14,TRUE,2.45029008878801
BAL,CEBPD,4,0.394460590624875,3.20053485595238e-19,TRUE,2.36676354374925
DTB_PBMC,CEBPB,5,-0.311660102146471,0,TRUE,2.33745076609853
DTB_PBMC,ATF3,5,-0.297926631376039,0,TRUE,2.23444973532029
DTB_PBMC,JUNB,5,-0.282943943889855,0,TRUE,2.12207957917391
BAL,JUND,5,0.281544529885018,1.42395104653584e-06,TRUE,2.11158397413763
BAL,IRF3,5,0.277707798483225,0.0112055613839984,TRUE,2.08280848862419
DTB_PBMC,NR4A3,1,1.28859569291434,3.89326912392616e-15,TRUE,1.93289353937151
DTB_PBMC,FOSB,4,-0.307428494775589,0,TRUE,1.84457096865353
DTB_PBMC,IRF8,5,-0.242872403286054,2.88072752580142e-205,TRUE,1.82154302464541
DTB_PBMC,STAT3,4,-0.287305525088624,3.42640112496675e-204,TRUE,1.72383315053175
DTB_PBMC,IRF7,5,0.21852798742379,3.12282346142537e-283,TRUE,1.63895990567842
DTB_PBMC,FOSL2,5,-0.21574175522971,7.93972991456307e-260,TRUE,1.61806316422283
DTB_PBMC,MAF,4,-0.244403526782759,3.78131918638146e-52,TRUE,1.46642116069656
DTB_PBMC,STAT2,5,-0.19331402689014,6.3452035658417e-303,TRUE,1.44985520167605
DTB_PBMC,RUNX1,3,-0.314517659575958,3.49189231080086e-80,TRUE,1.41532946809181
DTB_PBMC,HIF1A,5,-0.183768338280518,8.97196887743893e-259,TRUE,1.37826253710389
BAL,IRF8,3,0.305747850797152,0.0280781132956608,TRUE,1.37586532858718
BAL,IRF1,5,0.180002998048623,0.00197128278595934,TRUE,1.35002248536467
DTB_PBMC,PRDM1,2,-0.435717559427445,1.37789458657834e-118,TRUE,1.30715267828233
DTB_PBMC,NR4A1,5,-0.173085809986172,0,TRUE,1.29814357489629
DTB_PBMC,STAT1,4,-0.2149008965194,9.47901440724025e-212,TRUE,1.2894053791164
DTB_PBMC,MAX,3,-0.276798601882649,1.87535717117978e-71,TRUE,1.24559370847192
DTB_PBMC,ELF1,4,-0.188255547579871,8.54482192127191e-94,TRUE,1.12953328547923
DTB_PBMC,FOS,4,-0.163813461876549,0,TRUE,0.982880771259296
DTB_PBMC,IRF1,5,-0.127578155420818,3.04874691966058e-185,TRUE,0.956836165656138
DTB_PBMC,RELA,4,-0.156679389460613,2.01510912613732e-35,TRUE,0.940076336763676
DTB_PBMC,NR4A2,4,-0.15500781732772,7.49908632551038e-145,TRUE,0.93004690396632
DTB_PBMC,XBP1,4,-0.153780842147695,3.71968521112149e-154,TRUE,0.92268505288617
DTB_PBMC,JUN,4,-0.150990658608157,5.53565514371981e-210,TRUE,0.905943951648944
DTB_PBMC,IRF3,4,-0.137874316698022,3.48301992684769e-66,TRUE,0.827245900188129
DTB_PBMC,STAT5A,3,-0.169276520036858,6.200163091711e-51,TRUE,0.761744340165861
BAL,XBP1,5,-0.100359858437275,5.49678670791813e-16,TRUE,0.752698938279561
DTB_PBMC,RELB,5,-0.0898344770902438,8.04815931175113e-75,TRUE,0.673758578176829
DTB_PBMC,JUND,5,-0.085813027485942,0,TRUE,0.643597706144565
DTB_PBMC,NFKB1,4,-0.0852514288037553,5.10204112080869e-29,TRUE,0.511508572822532
BAL,CEBPA,5,0.0529776795542408,4.42480236902146e-05,TRUE,0.397332596656806
DTB_PBMC,ATF4,4,-0.063479760005168,1.51950867605198e-48,TRUE,0.380878560031008
BAL,IRF2,3,0.0814745745193197,0.000357098153160303,TRUE,0.366635585336939
DTB_PBMC,IRF2,5,-0.0464306091019242,9.53641585224021e-22,TRUE,0.348229568264431
DTB_PBMC,NFKB2,3,-0.0577814156342903,1.78381502888398e-33,TRUE,0.260016370354307
DTB_PBMC,REL,3,0.0461484212534347,1.10647724921156e-85,TRUE,0.207667895640456
DTB_PBMC,STAT6,3,-0.038695960975446,1.45804867893437e-148,TRUE,0.174131824389507
BAL,ARNT,2,-0.01086179288182,0.00243173680717355,TRUE,0.03258537864546
